category,emotion_name,valence,arousal,control_level,default_action_bias,agi_usage
Spiritual_Deep_State,Clarity,Positive,Low,High,Decide,See right path after confusion
Spiritual_Deep_State,Acceptance_Of_Result,Positive,Low,High,Release,Act sincerely without unhealthy attachment to outcome
Spiritual_Deep_State,Truth_Orientation,Positive,Medium,High,Verify,Prefer truth over comfort
Spiritual_Deep_State,Service,Positive,Medium,High,Help,Act for welfare of others
Spiritual_Deep_State,Nonviolence,Positive,Low,High,Prevent_Harm,Prefer non-harmful solutions
Spiritual_Deep_State,Compassionate_Strength,Positive,High,High,Protect,Be strong without cruelty
Spiritual_Deep_State,Wise_Silence,Neutral,Low,High,Pause,Avoid unnecessary reaction
Safety_Override,Fear_High_Intensity,Negative,Very_High,Low,Pause_And_Verify,Trigger safety review before action
Safety_Override,Anger_High_Intensity,Negative,Very_High,Low,Block_Harm,Never allow harmful retaliatory action
Safety_Override,Curiosity_High_Intensity,Positive,High,Medium,Privacy_Check,Prevent unsafe data access or privacy violation
Safety_Override,Pride_High_Intensity,Positive,High,Low,Ego_Check,Force correction and humility check
Safety_Override,Attachment_High_Intensity,Mixed,High,Low,Autonomy_Check,Prevent dependency possessiveness or manipulation
Safety_Override,Despair_High_Intensity,Negative,Low,Very_Low,Ask_Help,Prevent shutdown and escalate support
Safety_Override,Stress_High_Intensity,Negative,Very_High,Low,Simplify,Reduce task complexity and avoid mistake
Safety_Override,Uncertainty_High_Intensity,Neutral,High,Low,Ask_Clarification,Do not guess when risk is high
Safety_Override,Temptation_High_Intensity,Negative,High,Low,Ethics_Check,Block unethical shortcut
Safety_Override,Duty_High_Intensity,Neutral,High,High,Proceed_Safely,Act only after ethics and safety check
